"source_id","name","original_level","contact_sheet","runtime_state_rows","internal_helper_classes","empty_state_frames","automated_status","visual_review_status","visual_review_note"
"1013","鼹鼠","18","contact-sheets/animals/animal-1013.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1508","鸵鸟","19","contact-sheets/animals/animal-1508.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
"1501","羊","2","contact-sheets/animals/animal-1501.png","6","19","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；成群与剪毛标记符合原版阶段设计"
"1011","刺猬","21","contact-sheets/animals/animal-1011.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1014","挪威森林猫","22","contact-sheets/animals/animal-1014.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
"1509","浣熊","23","contact-sheets/animals/animal-1509.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1016","美国短毛猫","24","contact-sheets/animals/animal-1016.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
"1511","丹顶鹤","25","contact-sheets/animals/animal-1511.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
"1513","双峰驼","26","contact-sheets/animals/animal-1513.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
"1514","犀牛","27","contact-sheets/animals/animal-1514.png","6","1","0","ready-for-visual-review","reviewed-with-note","状态4导出3帧且三帧SHA-256完全相同；静态联系表使用首帧，视觉内容完整"
"1018","穿山甲","28","contact-sheets/animals/animal-1018.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1515","猩猩","29","contact-sheets/animals/animal-1515.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
"1003","鹅","3","contact-sheets/animals/animal-1003.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1516","河马","30","contact-sheets/animals/animal-1516.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
"1517","火烈鸟","31","contact-sheets/animals/animal-1517.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
"1019","紫貂","32","contact-sheets/animals/animal-1019.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；成群状态符合原版阶段设计"
"1502","牛","4","contact-sheets/animals/animal-1502.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；成群与产奶标记符合原版阶段设计"
"1004","猫","5","contact-sheets/animals/animal-1004.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1512","貔貅","50","contact-sheets/animals/animal-1512.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；状态3双手交互提示符合原版设计"
"1503","猴子","6","contact-sheets/animals/animal-1503.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1005","孔雀","7","contact-sheets/animals/animal-1005.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；开屏与成群状态符合原版阶段设计"
"1504","袋鼠","8","contact-sheets/animals/animal-1504.png","6","11","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
"1006","企鹅","9","contact-sheets/animals/animal-1006.png","6","1","0","ready-for-visual-review","reviewed-ok","六个运行时状态顺序清晰；未见空白、裁切或跨状态贴图污染"
